run,maxOpenCanopiesBelow1000Ft,maxOpenCanopiesBelow500Ft,minHorizontalSeparationFt,fullyOpenAltitudeMinFt,fullyOpenAltitudeMaxFt,fullyOpenAltitudeSpreadFt,canopyCongestionScore,canopyCollisionExposurePairSeconds,estimatedCanopyCollisionRiskPer10k
113,8,5,0.8301832393181418,2788.7310200977254,3172.4430974505344,383.71207735280905,5.85,62.38,1.25
114,9,5,0.18215399305706656,2775.375592058191,3094.889509961722,319.5139179035309,39.2,112.67,2.25
115,6,4,0.7609573703702996,2805.896299966721,3075.121457015013,269.2251570482922,36.45,55.78,1.12
116,9,5,0.2264423513130688,2786.520973305088,3173.533013930716,387.0120406256283,0,6.87,0.14
117,7,3,0.04365617230278129,2667.830694525363,3128.3262413001985,460.4955467748355,37.7,49.48,0.99
118,8,4,0.5537077777549512,2719.7461871639002,3126.2624877809358,406.51630061703554,11.6,41,0.82
119,7,5,0.057563256990302514,2826.2074405836365,3095.1517328578816,268.9442922742451,53.95,69.41,1.39
120,7,4,0.1302295342259215,2763.356058835357,3240.8903555341435,477.5342966987864,0,52,1.04
121,6,4,0.04216756025821871,2689.4467295794934,3085.8218991924696,396.37516961297615,32.55,13.81,0.28
122,5,4,0.6535461854281608,2853.957276549633,3056.120474123734,202.16319757410065,0,4.57,0.09
123,7,4,0.12064207287310844,2760.8436904013624,3054.989199405021,294.1455090036584,63.7,60.85,1.22
124,6,5,1.0620418562451162,2780.833409659834,3277.4373192176017,496.60390955776757,4.55,26.01,0.52
125,8,5,0.8188230004456095,2741.3590874437336,3037.838794877604,296.4797074338703,0,12.21,0.24
126,7,6,0.009352275256819762,2620.4308111230926,3076.8255901048938,456.3947789818012,28.1,60.52,1.21
127,7,4,0.10810941056466698,2734.627758451527,3162.842123893401,428.2143654418742,44.2,71.13,1.42
128,7,4,1.0041335340433435,2727.814479168654,3117.9557629976125,390.1412838289584,0,15.77,0.32
129,7,4,0.2131681802713204,2887.4797837493415,3101.362565071323,213.88278132198138,32,68.7,1.37
130,7,4,0.526823692506531,2558.0370333909596,3225.165568110148,667.1285347191883,0,0,0
131,8,6,0.4848301853679459,2714.3714187254136,3135.6190358232775,421.2476170978639,3.3,62.49,1.25
132,5,3,0.17288998423467702,2812.115932571637,3154.23301412499,342.1170815533528,39.75,46.08,0.92
133,7,4,0.06933741194310811,2736.0218387017503,3147.0885596244534,411.0667209227031,61.1,63.97,1.28
134,6,4,0.38223275963038755,2772.6490437829457,3277.9656068796676,505.3165630967219,0,13.32,0.27
135,8,5,1.0772542835535792,2676.5837806408017,3135.484252591228,458.90047195042644,10.3,36.99,0.74
136,8,5,0.46399483972684713,2674.6046909716083,3134.2394260128895,459.63473504128115,1.2,78.44,1.57
137,9,6,0.47976187017906413,2689.708322047441,3107.061573814038,417.35325176659717,16.95,124.33,2.49
138,7,5,0.7473876943978411,2492.0207021604215,3128.6706920074325,636.649989847011,6.25,33.2,0.66
139,8,5,0.19778110962297424,2662.1279623962505,3132.2350406473643,470.10707825111376,10.95,5.71,0.11
140,6,4,0.0924891851553344,2785.50143777313,3172.5365770998237,387.03513932669375,30.9,52.95,1.06
141,7,6,0.001845614166995503,2739.8310939919256,3153.76592342932,413.93482943739446,5.25,53.17,1.06
142,6,5,0.5917900984639234,2580.8798771274674,3105.265220241191,524.3853431137236,0,0,0
143,6,6,1.1574015769799282,2569.307944617063,3032.803918798572,463.4959741815087,7.75,84.64,1.69
144,6,5,0.13119527204946704,2773.973358950513,3244.2785760270217,470.3052170765086,17.45,20.14,0.4
145,7,5,0.048786836950525346,2727.405612655955,3247.401211796359,519.995599140404,15.05,50.83,1.02
146,7,5,0.31155992457100873,2768.5425500584665,3048.1156439780507,279.57309391958415,26.95,43.64,0.87
147,8,4,0.9832778253570972,2593.262231698439,3181.8408682713616,588.5786365729227,14.75,67.01,1.34
148,6,3,0.5403961101033845,2552.8455248051428,3069.198886256392,516.3533614512494,0,0,0
149,6,4,0.20101937964433433,2845.7320640353864,3159.319796385957,313.5877323505706,1.85,24.23,0.48
150,7,5,0.019896583654337042,2798.566963291534,3211.173398830349,412.6064355388148,0,11.76,0.24
151,8,7,0.011738189888388168,2752.4239469795966,3137.2071259966733,384.7831790170767,31.7,60.08,1.2
152,7,6,0.810629287077082,2802.9276091809916,3062.9148267330634,259.9872175520718,12.6,41.97,0.84
153,8,5,0.1421099509004353,2838.176214633678,3163.17075341874,324.9945387850621,0,36.59,0.73
154,9,6,0.006843140320763645,2742.2685645553693,3187.342931297204,445.07436674183464,37.8,46.53,0.93
155,7,6,0.11177743088401698,2820.051632241749,3186.596016711791,366.54438447004213,8.2,34.72,0.69
156,7,4,0.008664570643750409,2779.155788058146,3032.142127592605,252.98633953445915,43.4,91.94,1.84
157,6,4,0.06374509516414195,2859.777191370404,3181.5019784155497,321.7247870451456,27.9,26.18,0.52
158,6,4,0.0845080740167311,2756.6832159631717,3119.2993036810262,362.6160877178545,1.6,50.59,1.01
159,8,6,0.17329651434632415,2612.7206242813595,3022.845458504658,410.1248342232984,24.8,49.17,0.98
160,8,5,0.04872599832926874,2699.595275319134,3119.2498582657295,419.6545829465954,46.7,56.29,1.13
161,7,4,0.0421545751661853,2777.6756619780417,3150.91827519715,373.2426132191081,28.1,50.35,1.01
162,6,5,0.07542989171159462,2878.1593984059364,3091.576892716214,213.41749431027756,54,78.12,1.56
163,7,5,0.11404304644963131,2668.8332137625866,3121.063669914807,452.23045615222054,41.45,48.49,0.97
164,7,4,0.11504316651167262,2831.593084235588,3147.97213587216,316.37905163657206,1.8,0,0
