run,maxOpenCanopiesBelow1000Ft,maxOpenCanopiesBelow500Ft,minHorizontalSeparationFt,fullyOpenAltitudeMinFt,fullyOpenAltitudeMaxFt,fullyOpenAltitudeSpreadFt,canopyCongestionScore,canopyCollisionExposurePairSeconds,estimatedCanopyCollisionRiskPer10k
218,8,5,0.24046506556862882,2765.847136551516,3112.848638522579,347.00150197106313,59.95,123.75,2.47
219,7,5,0.006546851316490426,2749.7573188905526,3116.094020210996,366.33670132044335,64,61.91,1.24
220,9,7,0.03863406272561945,2711.8365241655288,3058.2990442433106,346.46252007778185,41.15,241.44,4.83
221,6,4,0.8403482400609618,2552.687292802494,3235.541039140908,682.8537463384141,0,0,0
222,7,4,0.12878006099940248,2894.9775643103553,3202.7274341945827,307.74986988422734,0,0,0
223,8,7,0.12361245421322183,2637.420431026651,3146.229499051569,508.8090680249179,31.95,54.22,1.08
224,8,6,0.19641566613299835,2695.6248856008383,3148.566653702013,452.9417681011746,58.25,186.31,3.73
225,8,5,0.061760616206264135,2701.974880520823,3320.0961547140887,618.1212741932659,0,0,0
226,8,5,0.04225556574134128,2807.9234288509656,3142.7612246724566,334.837795821491,1.8,61.68,1.23
227,6,3,0.02329416162220705,2713.0460286407174,3095.239408485351,382.19337984463345,60.8,55.22,1.1
228,7,4,0.0022787296630793616,2773.2979180588013,3249.5818546515634,476.2839365927621,0,0,0
229,6,4,0.8834995437283166,2713.9274018692363,3141.2764798314474,427.34907796221114,17.45,45.64,0.91
230,6,4,0.005921119155251586,2643.4290133484,3183.655498047224,540.2264846988237,20.3,27.35,0.55
231,7,6,0.07058628096833368,2844.28842583733,3197.154805723455,352.86637988612483,36.4,80.32,1.61
232,7,4,0.2788416492953332,2668.614603876057,3099.745084775362,431.130480899305,10.05,9.92,0.2
233,7,4,0.02638805079790361,2766.483684936635,3117.556306934702,351.072621998067,39.2,21.36,0.43
234,7,4,0.4905423277396731,2753.4320805720095,3158.5660678094564,405.13398723744695,8.15,30.96,0.62
235,7,4,0.5161294082495684,2720.108416546847,3212.2917205597455,492.1833040128986,0,10.16,0.2
236,6,4,0.01412194405303893,2783.5523273261383,3102.671730510905,319.1194031847667,48.55,51.87,1.04
237,6,4,0.11251704322072337,2839.4080786914524,3188.8390003517466,349.4309216602942,23.3,0,0
238,7,4,0.3089585120880424,2690.6358911372304,3131.9392555597133,441.3033644224829,17.85,24.12,0.48
239,6,4,0.1695199526511073,2642.055597697699,3343.2164289592415,701.1608312615426,0,0,0
240,8,5,0.11089786813030444,2665.440277465336,3056.0189421136206,390.57866464828476,33.4,87.09,1.74
241,6,4,0.6820949938312179,2719.6781104228435,3109.2996345058395,389.6215240829961,1.8,46.38,0.93
242,6,5,0.7192282266100071,2807.418176042955,3081.4727653196132,274.05458927665813,2.05,31.95,0.64
243,7,5,0.19813360991465923,2814.4156721471572,3127.2464148077497,312.8307426605925,4.1,14.08,0.28
244,6,5,0.23278645070579929,2787.9127289108433,3104.6405218764935,316.7277929656502,41.2,68.12,1.36
245,7,4,0.04039614594644215,2616.6123650740374,3061.1055169045826,444.49315183054523,1.35,44.58,0.89
246,7,4,0.038657908756910754,2695.813952315151,3262.867838025021,567.05388570987,32.95,108.49,2.17
247,7,4,0.25265004664716884,2609.802754966077,3335.43375309626,725.6309981301829,9.25,64.15,1.28
248,6,3,0.1327668153992112,2551.479593152295,3073.486567107041,522.0069739547462,0,2.81,0.06
249,7,5,0.4921962525827737,2677.013614012981,3224.5138787995147,547.5002647865335,35.05,55.17,1.1
250,8,4,0.2562200124552133,2780.8198811953366,3127.683295516578,346.8634143212412,41.75,77.6,1.55
251,7,5,0.3205561418630308,2748.956096270513,3229.5210365133184,480.5649402428053,9.9,23.88,0.48
252,7,5,0.37980306038523426,2642.062268595428,3196.1076351855204,554.0453665900923,33.75,57.49,1.15
253,6,5,0.12784458456696352,2669.904705336038,3171.489575138543,501.5848698025047,44.8,54.8,1.1
