cutoff_year_after_ge,period,cause,observed,expected,std_residual
2016,before,other_rare_or_unknown,16,39.83450704225352,-3.7763866224610823
2016,after,landing,57,51.67781690140845,0.7403511103071096
2016,after,malfunction,19,27.281690140845072,-1.5855624107546153
2016,after,no_pull_or_low_pull,4,14.42781690140845,-2.7453207071076373
2016,after,reserve_problem,3,11.804577464788732,-2.5626145968856266
2016,after,canopy_collision,6,11.017605633802816,-1.5116557931192172
2016,after,freefall_collision,6,10.492957746478874,-1.3870220725353832
2016,after,medical,16,8.132042253521126,2.7590667385959393
2016,after,other_rare_or_unknown,38,14.165492957746478,6.33272060635507
2017,before,landing,145,152.6056338028169,-0.6156730274618087
2017,before,malfunction,93,80.56338028169014,1.3855860901288926
2017,before,no_pull_or_low_pull,51,42.605633802816904,1.2860397605155207
2017,before,reserve_problem,44,34.859154929577464,1.5482030575332304
2017,before,canopy_collision,37,32.53521126760563,0.7827518413231691
2017,before,freefall_collision,36,30.985915492957748,0.9007608108772781
2017,before,medical,17,24.014084507042252,-1.4313240767254984
2017,before,other_rare_or_unknown,17,41.83098591549296,-3.839236919525437
2017,after,landing,52,44.394366197183096,1.1414883437019692
2017,after,malfunction,11,23.43661971830986,-2.5689453663386725
2017,after,no_pull_or_low_pull,4,12.394366197183098,-2.384381531570019
2017,after,reserve_problem,1,10.140845070422536,-2.870445293248706
2017,after,canopy_collision,5,9.464788732394366,-1.4512607553480572
2017,after,freefall_collision,4,9.014084507042254,-1.6700552407157836
2017,after,medical,14,6.985915492957746,2.65374586308881
2017,after,other_rare_or_unknown,37,12.169014084507042,7.1181357585465905
2018,before,landing,151,160.92957746478874,-0.7827315378261722
2018,before,malfunction,104,84.95774647887323,2.065935939582699
2018,before,no_pull_or_low_pull,52,44.929577464788736,1.054822053761776
2018,before,reserve_problem,45,36.76056338028169,1.3589592623892062
2018,before,canopy_collision,39,34.309859154929576,0.8007121474705612
2018,before,freefall_collision,37,32.67605633802817,0.7564238412975504
2018,before,medical,17,25.323943661971832,-1.654106479293787
2018,before,other_rare_or_unknown,19,44.11267605633803,-3.78104017665946
2018,after,landing,46,36.070422535211264,1.653313277071879
2018,after,malfunction,0,19.04225352112676,-4.363743063142784
2018,after,no_pull_or_low_pull,3,10.070422535211268,-2.2280325017641824
2018,after,reserve_problem,0,8.23943661971831,-2.8704418857935985
2018,after,canopy_collision,3,7.690140845070423,-1.6912925576020528
2018,after,freefall_collision,3,7.323943661971831,-1.5977452286951086
2018,after,medical,14,5.676056338028169,3.493862290897456
2018,after,other_rare_or_unknown,35,9.887323943661972,7.986446978455023
2019,before,landing,153,165.43838028169014,-0.9670427998582398
2019,before,malfunction,104,87.33802816901408,1.782890638416409
2019,before,no_pull_or_low_pull,52,46.188380281690144,0.8551273997690327
2019,before,reserve_problem,45,37.79049295774648,1.1727738989779048
2019,before,canopy_collision,39,35.271126760563384,0.6278674273249367
2019,before,freefall_collision,38,33.59154929577465,0.7606256583962354
2019,before,medical,21,26.033450704225352,-0.9865064998671472
2019,before,other_rare_or_unknown,25,45.348591549295776,-3.0217077110056256
2019,after,landing,44,31.56161971830986,2.2140335065845727
2019,after,malfunction,0,16.661971830985916,-4.081907866547936
2019,after,no_pull_or_low_pull,3,8.81161971830986,-1.9578044692176186
2019,after,reserve_problem,0,7.209507042253521,-2.6850525213212353
2019,after,canopy_collision,3,6.72887323943662,-1.4374953435300333
2019,after,freefall_collision,2,6.408450704225352,-1.7414438056972081
2019,after,medical,10,4.966549295774648,2.258595426685885
2019,after,other_rare_or_unknown,29,8.651408450704226,6.918165483732623
2020,before,landing,160,170.64084507042253,-0.8145816514921306
2020,before,malfunction,104,90.08450704225352,1.4661335862260387
2020,before,no_pull_or_low_pull,52,47.640845070422536,0.6315570338285664
2020,before,reserve_problem,45,38.978873239436616,0.9644131643811914
2020,before,canopy_collision,39,36.38028169014085,0.43433173897244
2020,before,freefall_collision,38,34.647887323943664,0.5694822983827539
2020,before,medical,21,26.85211267605634,-1.1293367190846408
2020,before,other_rare_or_unknown,33,46.774647887323944,-2.0140731629591135
2020,after,landing,37,26.359154929577464,2.072575588546781
2020,after,malfunction,0,13.915492957746478,-3.7303475652741094
2020,after,no_pull_or_low_pull,3,7.359154929577465,-1.6068980791433223
2020,after,reserve_problem,0,6.02112676056338,-2.453798435194582
2020,after,canopy_collision,3,5.619718309859155,-1.105089168012089
2020,after,freefall_collision,2,5.352112676056338,-1.4489586250507536
2020,after,medical,10,4.147887323943662,2.873420621415691
2020,after,other_rare_or_unknown,21,7.225352112676056,5.124494104979954
2021,before,landing,165,174.45598591549296,-0.7159189842774467
2021,before,malfunction,104,92.09859154929578,1.2401432846220592
2021,before,no_pull_or_low_pull,52,48.70598591549296,0.471991613882463
2021,before,reserve_problem,45,39.850352112676056,0.8157582096506526
2021,before,canopy_collision,39,37.193661971830984,0.29618601949061213
2021,before,freefall_collision,38,35.42253521126761,0.43306483536008583
2021,before,medical,23,27.452464788732396,-0.8497864894077539
2021,before,other_rare_or_unknown,37,47.820422535211264,-1.564723177559496
2021,after,landing,32,22.544014084507044,1.9915499028127346
2021,after,malfunction,0,11.901408450704226,-3.4498418008227896
2021,after,no_pull_or_low_pull,3,6.294014084507042,-1.3129905385939047
2021,after,reserve_problem,0,5.149647887323944,-2.2692835625641727
2021,after,canopy_collision,3,4.806338028169014,-0.8239329467235101
2021,after,freefall_collision,2,4.577464788732394,-1.2047036741782386
2021,after,medical,8,3.5475352112676055,2.3639437388291396
2021,after,other_rare_or_unknown,17,6.179577464788732,4.352761081398828
2022,before,landing,170,177.92429577464787,-0.5940774249844412
2022,before,malfunction,104,93.92957746478874,1.039074073719324
2022,before,no_pull_or_low_pull,52,49.67429577464789,0.32998076303969404
2022,before,reserve_problem,45,40.642605633802816,0.6834961867571676
2022,before,canopy_collision,39,37.933098591549296,0.17322681825715652
2022,before,freefall_collision,38,36.12676056338028,0.31165836063011726
2022,before,medical,26,27.99823943661972,-0.37764363058979894
2022,before,other_rare_or_unknown,39,48.771126760563384,-1.399146700995918
2022,after,landing,27,19.075704225352112,1.8143471516446734
2022,after,malfunction,0,10.070422535211268,-3.173392905899184
2022,after,no_pull_or_low_pull,3,5.325704225352113,-1.0077805220999332
2022,after,reserve_problem,0,4.357394366197183,-2.087437272398187
2022,after,canopy_collision,3,4.066901408450704,-0.529044819876083
2022,after,freefall_collision,2,3.8732394366197185,-0.9518228350628026
2022,after,medical,5,3.0017605633802815,1.1533457032394356
2022,after,other_rare_or_unknown,15,5.22887323943662,4.273075738825565
2023,before,landing,182,184.86091549295776,-0.21041780208059405
2023,before,malfunction,104,97.59154929577464,0.6487045463518624
2023,before,no_pull_or_low_pull,52,51.610915492957744,0.05415931422154721
2023,before,reserve_problem,45,42.227112676056336,0.4267136434041219
2023,before,canopy_collision,39,39.41197183098591,-0.0656226009804137
2023,before,freefall_collision,38,37.53521126760563,0.07586407359164825
2023,before,medical,27,29.089788732394368,-0.38746466204244473
2023,before,other_rare_or_unknown,46,50.67253521126761,-0.6563965144810912
2023,after,landing,15,12.139084507042254,0.8211302700456581
2023,after,malfunction,0,6.408450704225352,-2.531491794224376
2023,after,no_pull_or_low_pull,3,3.3890845070422535,-0.2113502368739366
2023,after,reserve_problem,0,2.772887323943662,-1.6651988842008218
2023,after,canopy_collision,3,2.5880281690140845,0.25608434044714207
2023,after,freefall_collision,2,2.464788732394366,-0.29605046065072926
2023,after,medical,4,1.9102112676056338,1.5120344354428839
2023,after,other_rare_or_unknown,8,3.3274647887323945,2.5615087785511936
