cutoff_year_after_ge,target,before_years,after_years,before_hit,before_total,before_prop,after_hit,after_total,after_prop,diff_pct_points,relative_risk,rr_low,rr_high,odds_ratio,or_low,or_high,fisher_p,two_prop_p,full_distribution_chi2,full_distribution_df,full_distribution_p
2007,all_collision,1999-2006,2007-2025,30,221,0.13574660633484162,52,347,0.14985590778097982,1.41093014461382,1.1039385206532182,0.7278786656956598,1.6742903931897484,1.1222598870056497,0.6889725836726338,1.8060907732127862,0.7137840108112576,0.6408854383001952,63.972355430770534,7,2.4187359505180926e-11
2007,freefall_collision,1999-2006,2007-2025,25,221,0.11312217194570136,15,347,0.043227665706051875,-6.989450623964949,0.3821325648414986,0.2060788573923603,0.7085894155280557,0.3542168674698795,0.18651294994806789,0.6918562276502306,0.0021723257583603456,0.001502620817944944,63.972355430770534,7,2.4187359505180926e-11
2007,landing,1999-2006,2007-2025,82,221,0.37104072398190047,115,347,0.3314121037463977,-3.9628620235502785,0.8931960357067547,0.7113818108502109,1.1214781514427101,0.8402544154751893,0.5907697224722358,1.1943740059108408,0.36608534364309764,0.3333242489195727,63.972355430770534,7,2.4187359505180926e-11
2008,canopy_collision,1999-2007,2008-2025,10,239,0.04184100418410042,32,329,0.0972644376899696,5.542343350586918,2.3246200607902736,1.1656699214162307,4.635839295281083,2.4673400673400674,1.1660358473006802,4.889536149785079,0.014312039869586717,0.012702821463219882,49.13470552280228,7,2.135168906075097e-08
2008,all_collision,1999-2007,2008-2025,35,239,0.14644351464435146,47,329,0.14285714285714285,-0.35863717872086087,0.9755102040816327,0.6508669819891764,1.462080862297012,0.9714285714285714,0.6050019622488338,1.5506845157070759,0.9043831697341874,0.9044349665951152,49.13470552280228,7,2.135168906075097e-08
2008,freefall_collision,1999-2007,2008-2025,25,239,0.10460251046025104,15,329,0.04559270516717325,-5.900980529307779,0.4358662613981763,0.23492291590201303,0.8086882333116632,0.4089171974522293,0.21541173754450657,0.7978605005704703,0.007777195929508827,0.006655338738396299,49.13470552280228,7,2.135168906075097e-08
2008,landing,1999-2007,2008-2025,86,239,0.3598326359832636,111,329,0.3373860182370821,-2.2446617746181508,0.937619283240263,0.7472090488886954,1.1765514906591288,0.9058566247066353,0.6390732795490721,1.2831597767719982,0.5930279809701255,0.5789742616267817,49.13470552280228,7,2.135168906075097e-08
2009,canopy_collision,1999-2008,2009-2025,15,269,0.055762081784386616,27,299,0.0903010033444816,3.4538921560094984,1.6193979933110367,0.8805084529177359,2.978335815005313,1.6808823529411765,0.8688892216328532,3.159949495691104,0.1479565594048772,0.11626586940368622,57.85809605857213,7,4.0350430352687637e-10
2009,all_collision,1999-2008,2009-2025,40,269,0.14869888475836432,42,299,0.14046822742474915,-0.8230657333615166,0.944648829431438,0.632918521447591,1.4099151481697922,0.9356031128404669,0.587051473762039,1.490055840177617,0.8116832537236889,0.7804955536973281,57.85809605857213,7,4.0350430352687637e-10
2009,freefall_collision,1999-2008,2009-2025,25,269,0.09293680297397769,15,299,0.05016722408026756,-4.276957889371013,0.539799331103679,0.2907946245042037,1.002024429979678,0.5154929577464789,0.2716196059098187,1.0046507346661553,0.050068042985567184,0.04668142185594326,57.85809605857213,7,4.0350430352687637e-10
2009,landing,1999-2008,2009-2025,94,269,0.34944237918215615,103,299,0.34448160535117056,-0.49607738309855876,0.9858037429730306,0.7864631498930825,1.235670126174064,0.9783434650455927,0.6925899021412372,1.3815609821146981,0.9297605042123087,0.9012941182309,57.85809605857213,7,4.0350430352687637e-10
2010,canopy_collision,1999-2009,2010-2025,19,285,0.06666666666666667,23,283,0.0812720848056537,1.4605418138987039,1.2190812720848057,0.6791940671746116,2.188121510145401,1.2384615384615385,0.6604368516408018,2.3015169349680193,0.5255273353947592,0.5059871757850782,46.76132446188451,7,6.213423720402823e-08
2010,all_collision,1999-2009,2010-2025,44,285,0.1543859649122807,38,283,0.13427561837455831,-2.0110346537722394,0.8697398008352072,0.58202311759416,1.2996860404509403,0.8495361781076067,0.5337624041556496,1.357015266580029,0.5509931996993709,0.4953383076180258,46.76132446188451,7,6.213423720402823e-08
2010,freefall_collision,1999-2009,2010-2025,25,285,0.08771929824561403,15,283,0.053003533568904596,-3.4715764676709435,0.6042402826855124,0.32548970674300065,1.121713871917147,0.582089552238806,0.30667700986364893,1.1340408282104146,0.13923448982246758,0.10591077319740183,46.76132446188451,7,6.213423720402823e-08
2010,landing,1999-2009,2010-2025,97,285,0.34035087719298246,100,283,0.35335689045936397,1.300601326638151,1.0382135441331828,0.8284029340911528,1.301163140379437,1.0590952622387473,0.7499945089476097,1.494911147041427,0.791530558175225,0.7447102510254531,46.76132446188451,7,6.213423720402823e-08
2011,canopy_collision,1999-2010,2011-2025,24,306,0.0784313725490196,18,262,0.06870229007633588,-0.9729082472683726,0.8759541984732825,0.48631908311684463,1.5777619765717024,0.8668032786885246,0.4658247075560855,1.6340597983686085,0.7484059161634897,0.6586971123311289,46.50411385389556,7,6.97358435551039e-08
2011,all_collision,1999-2010,2011-2025,49,306,0.16013071895424835,33,262,0.12595419847328243,-3.417652048096592,0.7865711169964169,0.5223297631415397,1.1844895040479222,0.7558149897513591,0.4730595012245147,1.218856376399132,0.2816214745606787,0.24797463340171477,46.50411385389556,7,6.97358435551039e-08
2011,freefall_collision,1999-2010,2011-2025,25,306,0.08169934640522876,15,262,0.05725190839694656,-2.4447438008282196,0.7007633587786259,0.3775341008079135,1.3007282890626972,0.6825910931174088,0.35948698602149814,1.3295548372323343,0.3238472920718154,0.25629203218041763,46.50411385389556,7,6.97358435551039e-08
